"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)"
"[0,5)",0.268996141077786,0.111676625319874,0.0338594771340739,0.0167889631554274,0.0243202016338796,0.0626029022873644,0.111638772390365,0.101101467723747,0.0618930444415679,0.0426986532946903,0.0384346276308512,0.0345486353318723,0.0271696939369831,0.0196681513292318,0.0138433734489169,0.00988083833278174
"[5,10)",0.111676625319875,0.66764458815351,0.176250064880151,0.0354148361014651,0.0234005423756869,0.0370302686771694,0.0706156423940613,0.0834190053303749,0.063916864144461,0.0460401502680983,0.0397094075742656,0.0383797368818495,0.0361617127099368,0.0332027357376191,0.0269716505218818,0.0193766523031243
"[10,15)",0.033859477134074,0.176250064880151,1,0.194681256607936,0.0592146220100903,0.0433215343418959,0.0570770102356287,0.0806958771762494,0.0837246380044898,0.0672201995785712,0.0468714139687247,0.031436812607326,0.0234714061761649,0.020458930174249,0.0179674743734501,0.0128433875298622
"[15,20)",0.0167889631554274,0.035414836101465,0.194681256607936,0.72141406226479,0.16305250691138,0.0725061579729472,0.0590129728410993,0.0666911212069301,0.0833717206771773,0.0846117885646196,0.0606406078839894,0.0328346964725954,0.0184482833752054,0.015396369160404,0.0151258317041767,0.0132093700879283
"[20,25)",0.0243202016338796,0.0234005423756869,0.0592146220100902,0.16305250691138,0.409085113246392,0.141422999758047,0.0972009255520656,0.0772144476359379,0.0808971626649721,0.101783522824173,0.0950204161519073,0.0571093373972451,0.027970018801523,0.0189864659608159,0.0171847513746253,0.0158149187353243
"[25,30)",0.0626029022873645,0.0370302686771693,0.0433215343418959,0.0725061579729472,0.141422999758047,0.257234555679829,0.134043294498896,0.102513338938794,0.080812297968041,0.0894121535005158,0.106768661529417,0.0871325571918171,0.0483824362330758,0.0278702559267142,0.0183690149714794,0.0139750789497476
"[30,35)",0.111638772390365,0.0706156423940611,0.0570770102356286,0.0590129728410993,0.0972009255520655,0.134043294498896,0.214833055972615,0.123753802378729,0.0969845777082271,0.0819040243179222,0.0873021496230711,0.0913604623873854,0.068018177822786,0.0425447109927748,0.0224955487583098,0.0122101093467708
"[35,40)",0.101101467723747,0.0834190053303747,0.0806958771762493,0.0666911212069301,0.0772144476359379,0.102513338938794,0.123753802378729,0.201390120401128,0.119074858647023,0.0990923341782711,0.0799914752392107,0.0737625316979003,0.0703117590039981,0.0593492907422302,0.0348476925743345,0.0161785350753734
"[40,45)",0.061893044441568,0.0639168641444609,0.0837246380044897,0.0833717206771774,0.0808971626649721,0.0808122979680411,0.0969845777082271,0.119074858647023,0.184837343817384,0.112021677774131,0.0893641865437494,0.0634859623990985,0.0543476273099233,0.0600246779782647,0.0482097288399069,0.0257256723920966
"[45,50)",0.0426986532946904,0.0460401502680982,0.0672201995785712,0.0846117885646196,0.101783522824173,0.0894121535005159,0.0819040243179223,0.0990923341782712,0.112021677774131,0.16346161247799,0.0963440809360347,0.0690795347069692,0.0454729223693264,0.0444554913871659,0.0458190166199092,0.0337924792788221
"[50,55)",0.0384346276308512,0.0397094075742655,0.0468714139687247,0.0606406078839894,0.0950204161519073,0.106768661529417,0.0873021496230711,0.0799914752392107,0.0893641865437494,0.0963440809360346,0.156919336142172,0.0870128047632146,0.0549228017197902,0.0392466291274584,0.0358059687625754,0.0361857352993038
"[55,60)",0.0345486353318723,0.0383797368818494,0.031436812607326,0.0328346964725954,0.0571093373972451,0.0871325571918171,0.0913604623873854,0.0737625316979004,0.0634859623990985,0.0690795347069692,0.0870128047632146,0.160192314066537,0.0761240473871371,0.0511566862948603,0.0371260372885414,0.0359503782931075
"[60,65)",0.0271696939369831,0.0361617127099367,0.0234714061761649,0.0184482833752055,0.027970018801523,0.0483824362330758,0.068018177822786,0.0703117590039982,0.0543476273099233,0.0454729223693264,0.0549228017197902,0.0761240473871372,0.127483511088152,0.067776752144484,0.051143164791576,0.0372766811223452
"[65,70)",0.0196681513292318,0.0332027357376191,0.0204589301742489,0.015396369160404,0.0189864659608158,0.0278702559267142,0.0425447109927748,0.0593492907422302,0.0600246779782647,0.0444554913871659,0.0392466291274584,0.0511566862948603,0.067776752144484,0.126744281525081,0.0715419297454024,0.0424371480428462
"[70,75)",0.0138433734489169,0.0269716505218817,0.0179674743734501,0.0151258317041767,0.0171847513746253,0.0183690149714794,0.0224955487583098,0.0348476925743345,0.0482097288399069,0.0458190166199091,0.0358059687625754,0.0371260372885414,0.0511431647915759,0.0715419297454024,0.137607428824603,0.0560632191571101
"[75,80)",0.00988083833278179,0.0193766523031244,0.0128433875298622,0.0132093700879284,0.0158149187353244,0.0139750789497476,0.0122101093467708,0.0161785350753735,0.0257256723920967,0.0337924792788222,0.0361857352993039,0.0359503782931077,0.0372766811223453,0.0424371480428464,0.0560632191571104,0.0974982079877587
