"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)"
"[0,5)",0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776
"[5,10)",0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776
"[10,15)",0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776
"[15,20)",0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776
"[20,25)",0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776
"[25,30)",0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776
"[30,35)",0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776
"[35,40)",0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776
"[40,45)",0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776
"[45,50)",0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776
"[50,55)",0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776
"[55,60)",0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776
"[60,65)",0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776
"[65,70)",0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776
"[70,75)",0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776
"[75,80)",0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776,0.0742074270533776
